Time,Swipe_In_1,Swipe_In_2,Swipe_In_3,Swipe_In_4,swipe_In_All,Swipe_Out_1,Swipe_Out_2,Swipe_Out_3,Swipe_Out_4,Swipe_Out_All
6.0,0,0,0,0,0,0,0,0,0,0
6.25,0,0,0,0,0,0,0,0,0,0
6.5,5,0,0,0,5,0,0,0,0,0
6.75,9,0,0,0,9,0,0,0,0,0
7.0,45,0,0,0,45,0,0,0,0,0
7.25,94,0,0,0,94,0,0,0,0,0
7.5,186,2,0,0,188,0,0,0,0,0
7.75,252,9,0,0,261,0,0,0,0,0
8.0,287,40,0,0,327,0,0,0,0,0
8.25,276,111,1,1,389,0,0,0,0,0
8.5,181,194,6,6,387,0,0,0,0,0
8.75,99,236,16,16,367,0,0,0,0,0
9.0,48,266,53,53,420,0,0,0,0,0
9.25,15,268,149,149,581,0,0,0,0,0
9.5,2,174,252,252,680,0,0,0,0,0
9.75,0,136,370,370,876,0,0,0,0,0
10.0,1,45,433,433,912,0,0,0,0,0
10.25,0,14,356,356,726,0,0,0,0,0
10.5,0,4,251,251,506,0,0,0,0,0
10.75,0,1,131,131,263,0,0,0,0,0
11.0,0,0,50,50,100,0,0,0,0,0
11.25,0,0,20,20,40,0,0,0,0,0
11.5,0,0,9,9,18,0,0,0,0,0
11.75,0,0,0,0,0,0,0,0,0,0
12.0,0,0,3,3,6,0,0,0,0,0
12.25,0,0,0,0,0,0,0,0,0,0
12.5,0,0,0,0,0,0,0,0,0,0
12.75,0,0,0,0,0,0,0,0,0,0
13.0,0,0,0,0,0,0,0,0,0,0
13.25,0,0,0,0,0,0,0,0,0,0
13.5,0,0,0,0,0,0,0,0,0,0
13.75,0,0,0,0,0,0,0,0,0,0
14.0,0,0,0,0,0,0,0,0,0,0
14.25,0,0,0,0,0,0,0,0,0,0
14.5,0,0,0,0,0,0,0,0,0,0
14.75,0,0,0,0,0,0,0,0,0,0
15.0,0,0,0,0,0,0,0,0,0,0
15.25,0,0,0,0,0,0,0,0,0,0
15.5,0,0,0,0,0,0,0,0,0,0
15.75,0,0,0,0,0,0,0,0,0,0
16.0,0,0,0,0,0,0,0,0,0,0
16.25,0,0,0,0,0,0,0,0,0,0
16.5,0,0,0,0,0,0,0,0,0,0
16.75,0,0,0,0,0,0,0,0,0,0
17.0,0,0,0,0,0,0,0,0,0,0
17.25,0,0,0,0,0,0,0,0,0,0
17.5,0,0,0,0,0,0,0,0,0,0
17.75,0,0,0,0,0,0,0,0,0,0
18.0,0,0,0,0,0,0,0,0,0,0
18.25,0,0,0,0,0,0,0,0,0,0
18.5,0,0,0,0,0,0,0,0,0,0
18.75,0,0,0,0,0,0,0,0,0,0
19.0,0,0,0,0,0,0,0,0,0,0
19.25,0,0,0,0,0,0,0,0,0,0
19.5,0,0,0,0,0,0,0,0,0,0
19.75,0,0,0,0,0,0,0,0,0,0
20.0,0,0,0,0,0,0,0,0,0,0
20.25,0,0,0,0,0,0,0,0,0,0
20.5,0,0,0,0,0,0,0,0,0,0
20.75,0,0,0,0,0,0,0,0,0,0
21.0,0,0,0,0,0,0,0,0,0,0
21.25,0,0,0,0,0,0,0,0,0,0
21.5,0,0,0,0,0,0,0,0,0,0
21.75,0,0,0,0,0,0,0,0,0,0
22.0,0,0,0,0,0,0,0,0,0,0
22.25,0,0,0,0,0,0,0,0,0,0
22.5,0,0,0,0,0,0,0,0,0,0
22.75,0,0,0,0,0,0,0,0,0,0
23.0,0,0,0,0,0,0,0,0,0,0
